Rank,Song,Artist,Year,Lyrics,Source,Total Words,Unique Words
1,love yourself,justin bieber,2016,for all the times that you rain on my parade and all the clubs you get in using my name you think you broke my heart oh girl for goodness sake you think im crying on my own well i aint and i didnt wanna write a song cause i didnt want anyone thinking i still care i dont but you still hit my phone up and baby i be movin on and i think you should be somethin i dont wanna hold back maybe you should know that my mama dont like you and she likes everyone and i never like to admit that i was wrong and ive been so caught up in my job didnt see whats going on but now i know im better sleeping on my own cause if you like the way you look that much oh baby you should go and love yourself and if you think that im still holdin on to somethin you should go and love yourself and when you told me that you hated my friends the only problem was with you and not them and every time you told me my opinion was wrong and tried to make me forget where i came from and i didnt wanna write a song cause i didnt want anyone thinking i still care i dont but you still hit my phone up and baby i be movin on and i think you should be somethin i dont wanna hold back maybe you should know that my mama dont like you and she likes everyone and i never like to admit that i was wrong and ive been so caught up in my job didnt see whats going on but now i know im better sleeping on my own cause if you like the way you look that much oh baby you should go and love yourself and if you think that im still holdin on to somethin you should go and love yourself for all the times that you made me feel small i fell in love now i feel nothin at all had never felt so low when i was vulnerable was i a fool to let you break down my walls cause if you like the way you look that much oh baby you should go and love yourself and if you think that im still holdin on to somethin you should go and love yourself cause if you like the way you look that much oh baby you should go and love yourself and if you think that im still holdin on to somethin you should go and love yourself,1,442,117
2,sorry,justin bieber,2016,you gotta go and get angry at all of my honesty you know i try but i dont do too well with apologies i hope i dont run out of time could someone call a referee cause i just need one more shot at forgiveness i know you know that i made those mistakes maybe once or twice by once or twice i mean maybe a couple a hundred times so let me oh let me redeem oh redeem oh myself tonight cause i just need one more shot at second chances yeah is it too late now to say sorry cause im missing more than just your body is it too late now to say sorry yeah i know that i let you down is it too late to say im sorry now im sorry yeah sorry yeah sorry yeah i know that i let you down is it too late to say im sorry now ill take every single piece of the blame if you want me to but you know that there is no innocent one in this game for two ill go ill go and then you go you go out and spill the truth can we both say the words and forget this is it too late now to say sorry cause im missing more than just your body is it too late now to say sorry yeah i know that i let you down is it too late to say im sorry now im not just trying to get you back on me cause im missing more than just your body is it too late now to say sorry yeah i know that i let you down is it too late to say im sorry now im sorry yeah sorry oh sorry yeah i know that i let you down is it too late to say im sorry now im sorry yeah sorry oh sorry yeah i know that i let you down is it too late to say im sorry now,1,338,102
3,one dance,drake featuring wizkid and kyla,2016,baby i like your style grips on your waist front way back way you know that i dont play streets not safe but i never run away even when im away oti oti theres never much love when we go ot i pray to make it back in one piece i pray i pray thats why i need a one dance got a hennessy in my hand one more time fore i go higher powers taking a hold on me i need a one dance got a hennessy in my hand one more time fore i go higher powers taking a hold on me baby i like your style strength and guidance all that im wishing for my friends nobody makes it from my ends i had to bust up the silence you know you gotta stick by me soon as you see the text reply me i dont wanna spend time fighting weve got no time and thats why i need a one dance got a hennessy in my hand one more time fore i go higher powers taking a hold on me i need a one dance got a hennessy in my hand one more time fore i go higher powers taking a hold on me got a pretty girl and she love me long time wine it wine it very long time oh yeah she steady on grindin back up back up back up and wine it back up back up and wine it back up back up back up and wine it oh yeah she steady on grindin back up back up and wine it girl tell me i need to know where do you wanna go cause if youre down ill take it slow make you lose control where where where where where where where oh yeah she steady on grindin where where where back up back up and wine it girl where where where where cause if youre down back up back up and cause if youre down back up back up and cause if youre down back up back up and i need a one dance got a hennessy in my hand one more time fore i go higher powers taking a hold on me i need a one dance got a hennessy in my hand one more time fore i go higher powers taking a hold on me,1,396,108
4,work,rihanna featuring drake,2016,work work work work work work he said me haffi work work work work work work he see me do mi dirt dirt dirt dirt dirt dirt so me put in work work work work work work when you ah guh learn learn learn learn learn meh nuh cyar if him hurt hurt hurt hurt hurting dry me ah desert him nuh time to have you lurking him ah go act like he nah like it you know i dealt with you the nicest nuh body touch me in the righteous nuh botha text me in a crisis i believed all of your dreams adoration you took my heart and my keys and my patience you took my heart on my sleeve for decoration you mistaken my love i brought for you for foundation all that i wanted from you was to give me something that i never had something that youve never seen something that youve never been mmmmm but i wake up and act like nothings wrong just get ready for work work work work work work he said me haffi work work work work work work he see me do mi dirt dirt dirt dirt dirt dirt so me put in work work work work work work ner ner ner ner ner ner when you a guh ner ner ner ner ner ner before the tables turn turn turn turn turn turn beg you something please baby dont you leave dont leave me stuck here in the streets uh huh if i get another chance to i will never no never neglect you i mean who am i to hold your past against you i just hope that it gets to you i hope that you see this through i hope that you see this true what can i say please recognize im tryin babe i have to work work work work work work he said me haffi work work work work work work he see me do mi dirt dirt dirt dirt dirt dirt so me put in work work work work work work when you ah guh learn learn learn learn learn meh nuh cyar if him hurt hurt hurt hurt hurting yeah okay you need to get done done done done at work come over we just need to slow the motion dont give that away to no one long distance i need you when i see potential i just gotta see it through if you had a twin i would still choose you i dont wanna rush into it if its too soon but i know you need to get done done done done if you come over sorry if im way less friendly i got niggas tryna end me oh i spilled all my emotions tonight im sorry rollin rollin rollin rollin rollin how many more shots until youre rollin we just need a face to face you could pick the time and the place you spent some time away now you need to forward and give me all the work work work work work work he said me haffi work work work work work work he se me do mi dirt dirt dirt dirt dirt dirt so me put in work work work work work work when you ah guh learn learn learn learn learn meh nuh cyar if him hurt hurt hurt hurt hurting mmmmm mmmmm mmmmm mmmmm work work work work work work mmmmm mmmmm,1,576,179
5,stressed out,twenty one pilots,2016,i wish i found some better sounds no ones ever heard i wish i had a better voice that sang some better words i wish i found some chords in an order that is new i wish i didnt have to rhyme every time i sang i was told when i get older all my fears would shrink but now im insecure and i care what people think my names blurryface and i care what you think my names blurryface and i care what you think wish we could turn back time to the good old days when our momma sang us to sleep but now were stressed out wish we could turn back time to the good old days when our momma sang us to sleep but now were stressed out were stressed out sometimes a certain smell will take me back to when i was young how come im never able to identify where its coming from id make a candle out of it if i ever found it try to sell it never sell out of it id probably only sell one itd be to my brother cause we have the same nose same clothes home grown the stones throw from a creek we used to roam but it would remind us of when nothing really mattered out of student loans and tree house homes we all would take the latter my names blurryface and i care what you think my names blurryface and i care what you think wish we could turn back time to the good old days when our momma sang us to sleep but now were stressed out wish we could turn back time to the good old days when our momma sang us to sleep but now were stressed out used to play pretend give each other different names we would build a rocket ship and then wed fly it far away used to dream of outer space but now theyre laughing at our face singing wake up you need to make money yeah used to play pretend give each other different names we would build a rocket ship and then wed fly it far away used to dream of outer space but now theyre laughing at our face singing wake up you need to make money yeah wish we could turn back time to the good old days when our momma sang us to sleep but now were stressed out wish we could turn back time to the good old days when our momma sang us to sleep but now were stressed out we used to play pretend used to play pretend money we used to play pretend wake up you need the money used to play pretend used to play pretend money we used to play pretend wake up you need the money used to play pretend give each other different names we would build a rocket ship and then wed fly it far away used to dream of outer space but now theyre laughing at our face saying wake up you need to make money yeah,1,517,144
6,panda,desiigner,2016,this what they all been waitin for i guess so they been waitin for this shit for a long time didnt they ima give it everythin i got ayo dougie park that x6 around the corner ayy im just feelin my vibe right now im feelin myself panda panda panda panda panda panda panda i got broads in atlanta twistin dope lean and the fanta credit cards and the scammers hittin off licks in the bando black x6 phantom white x6 looks like a panda goin out like im montana hundred killers hundred hammers black x6 phantom white x6 panda pockets swole danny sellin bar candy man im the macho like randy the choppa go oscar for grammy bitch nigga pull up ya panty hope you killas understand me i got broads in atlanta twistin dope lean and the fanta credit cards and the scammers hittin off licks in the bando black x6 phantom white x6 looks like a panda goin out like im montana hundred killers hundred hammers black x6 phantom white x6 panda pockets swole danny sellin bar candy man im the macho like randy the choppa go oscar for grammy bitch nigga pull up ya panty hope you killas understand me hey panda panda panda panda panda panda panda panda panda panda i got broads in atlanta twistin dope lean and shit sippin fanta credit cards and the scammers wake up versace shit life desiigner whole bunch of lavish shit they be askin round town who be clappin shit i be pullin up stuff in the phantom ship i got plenty of stuff of bugatti whip look how i drive this shit black x6 phantom white x6 killin on camera pop a perc i cant stand up gorilla they come and kill you with bananas four fillas they finna pull up in the phantom know niggas they come and kill you on the camera big rollie it dancin bigger than a pandie go oscar for grammy bitch pull up your panty fill up ima flip it i got bitches pull up and they get it i got niggas thats countin for digits say you make you a lot of new money know some killers pull off and they in the wraith cdg they pull off and they kill the bape call up phillip phillip gon fill the bank niggas up in the bank we gon drill the bank fuck we gon kill the bank get it i got broads yea i get it i get cards yea i shitted this how i live it did it all for a ticket now flex drop bombs when he spin it and bobby gon trend it jeff the don doin business zana ray fuckin up shit and she doin her bidnezz i be gettin to the chicken countin to the chicken and all of my niggas gon split it panda panda panda panda panda panda panda i got broads in atlanta twistin dope lean and the fanta credit cards and the scammers hittin off licks in the bando black x6 phantom white x6 looks like a panda goin out like im montana hundred killers hundred hammers black x6 phantom white x6 panda pockets swole danny sellin bar candy man im the macho like randy the choppa go oscar for grammy bitch nigga pull up ya panty hope you killas understand me i got broads in atlanta twistin dope lean and the fanta credit cards and the scammers hittin off licks in the bando black x6 phantom white x6 looks like a panda goin out like im montana hundred killers hundred hammers black x6 phantom white x6 panda pockets swole danny sellin bar candy man im the macho like randy the choppa go oscar for grammy bitch nigga pull up ya panty hope you killas understand me panda panda panda panda panda panda panda,1,643,187
7,hello,adele,2016,hello its me i was wondering if after all these years youd like to meet to go over everything they say that times supposed to heal ya but i aint done much healing hello can you hear me im in california dreaming about who we used to be when we were younger and free ive forgotten how it felt before the world fell at our feet theres such a difference between us and a million miles hello from the other side i mustve called a thousand times to tell you im sorry for everything that ive done but when i call you never seem to be home hello from the outside at least i can say that ive tried to tell you im sorry for breaking your heart but it dont matter it clearly doesnt tear you apart anymore hello how are you its so typical of me to talk about myself im sorry i hope that youre well did you ever make it out of that town where nothing ever happened its no secret that the both of us are running out of time so hello from the other side i mustve called a thousand times to tell you im sorry for everything that ive done but when i call you never seem to be home hello from the outside at least i can say that ive tried to tell you im sorry for breaking your heart but it dont matter it clearly doesnt tear you apart anymore oooooh anymore oooooh anymore oooooh anymore anymore hello from the other side i mustve called a thousand times to tell you im sorry for everything that ive done but when i call you never seem to be home hello from the outside at least i can say that ive tried to tell you im sorry for breaking your heart but it dont matter it clearly doesnt tear you apart anymore,1,319,116
8,dont let me down,the chainsmokers featuring daya,2016,NA,,0,0
9,cant stop the feeling,justin timberlake,2016, i got this feeling inside my bones it goes electric wavey when i turn it on all through my city all through my home were flying up no ceiling when we in our zone i got that sunshine in my pocket got that good song in my feet i feel that hot blood in my body when it drops i cant take my eyes up off it moving so phenomenally you gone like the way we rock it so dont stop under the lights when everything goes nowhere to hide when im getting you close when we move well you already know so just imagine just imagine just imagine nothing i can see but you when you dance dance dance feeling good good creeping up on you so just dance dance dance come on all those things i should do to you but you dance dance dance and aint nobody leaving soon so keep dancing i cant stop the feeling so just dance dance dance i cant stop the feeling so just dance dance dance come on ooh its something magical its in the air its in my blood its rushing on i dont need no reason dont need control i fly so high no ceiling when im in my zone cause i got that sunshine in my pocket got that good song in my feet i feel that hot blood in my body when it drops i cant take my eyes up off it moving so phenomenally you gon like the way we rock it so dont stop under the lights when everything goes nowhere to hide when im getting you close when we move well you already know so just imagine just imagine just imagine nothing i can see but you when you dance dance dance feeling good good creeping up on you so just dance dance dance come on all those things i should do to you but you dance dance dance and aint nobody leaving soon so keep dancing i cant stop the feeling so just dance dance dance i cant stop the feeling so just dance dance dance i cant stop the feeling so just dance dance dance i cant stop the feeling so keep dancing come on i cant stop the i cant stop the i cant stop the i cant stop the i cant stop the feelingnothing i can see but you when you dance dance dance i cant stop the feeling feeling good good creeping up on you so just dance dance dance come on i cant stop the feeling all those things i should do to you but you dance dance dance i cant stop the feeling and aint nobody leaving soon so keep dancing everybody sing i cant stop the feeling got this feeling in my body i cant stop the feeling got this feeling in my body i cant stop the feeling wanna see you move your body i cant stop the feeling got this feeling in my body break it down got this feeling in my body cant stop the feeling got this feeling in my body come on,2,522,107
10,closer,the chainsmokers featuring halsey,2016,hey i was doing just fine before i met you i drink too much and thats an issue but im okay hey you tell your friends it was nice to meet them but i hope i never see them again i know it breaks your heart moved to the city in a broke down car and four years no calls now youre looking pretty in a hotel bar and i cant stop no i cant stop so baby pull me closer in the backseat of your rover that i know you cant afford bite that tattoo on your shoulder pull the sheets right off the corner of the mattress that you stole from your roommate back in boulder we aint ever getting older we aint ever getting older we aint ever getting older you look as good as the day i met you i forget just why i left you i was insane stay and play that blink182 song that we beat to death in tuscon okay i know it breaks your heart moved to the city in a broke down car and four years no call now im looking pretty in a hotel bar and i cant stop no i cant stop so baby pull me closer in the backseat of your rover that i know you cant afford bite that tattoo on your shoulder pull the sheets right off the corner of the mattress that you stole from your roommate back in boulder we aint ever getting older we aint ever getting older we aint ever getting older so baby pull me closer in the backseat of your rover that i know you cant afford bite that tattoo on your shoulder pull the sheets right off the corner of the mattress that you stole from your roommate back in boulder we aint ever getting older we aint ever getting older we aint ever getting older we aint ever getting older we aint ever getting older we aint ever getting older we aint ever getting older we aint ever getting older we aint ever getting older no we aint ever getting older,1,353,99
